Sampler,Lab,SiteNum,NERRSiteNum,Date,Season,Year,ID,Sample No,SiteName,Storm,Rep,TN,TP,Phosphate,SilicaJ,NNN,Ammonia,Chla,TSS,Comments,Time,Temp,SpCond,Salinity,DO,DOSat,Depthm,pH,Turbidity,Comment
DOH,DOH,H2,2,10/24/2013,2,2013,322202,GT10241301,Heeia Lower,,,163,276,,31000,141,4,0,2,Chlorophyll a not analyzed.,10:05 AM,22.5,,0.09,7.5,81.7,,8.21,1.43,Special Run
DOH,DOH,H1,1,10/24/2013,2,2013,322203,GT10241302,Heeia Upper,,,69,280,,30600,59,2,0,1,Chlorophyll a not analyzed.,10:40 AM,21.04,,0.07,8.8,99.3,,8.19,0.56,Special Run
DOH,DOH,H2,2,11/6/2013,2,2013,322202,GT11061301,Heeia Lower,,,314,246,,27800,145,6,0,3,Chlorophyll a not anlyzed.,10:30 AM,23.6,,0.09,7.84,92.4,,8.01,2.26,Special Run
DOH,DOH,H1,1,11/6/2013,2,2013,322203,GT11061302,Heeia Upper,,,113,274,,27900,66,2,0,4,Chlorophyll a not analyzed.,11:14 AM,20.6,,0.07,8.67,96.4,,8.13,0.42,Special Run
DOH,DOH,H2,2,11/20/2013,2,2013,322202,GT11201301,Heeia Lower,,,492,270,,28200,261,36,0,5,Chlorophyll a not analyzed.,10:50 AM,22.14,,0.09,4.98,57.1,,7.75,1.82,"Special Run, cloudy, hazy, calm, high flow, flood 1.5 weeks ago"
DOH,DOH,H1,1,11/20/2013,2,2013,322203,GT11201302,Heeia Upper,,,113,274,,27900,66,2,0,4,Chlorophyll a not analyzed.,11:21 AM,20.5,,0.08,7.91,98,,7.91,0.68,"Special Run, cloudy, hazy, calm, high flow, flood 1.5 weeks ago"
DOH,DOH,H2,2,12/12/2013,2,2013,322202,GT12121301,Heeia Lower,,,438,196,,27900,350,2,0,2,Chlorophyll a not analyzed,10:25 AM,22.2,,0.08,7.6,90.1,,7.8,2.07,"Special Run; clear, sunny, cloudless, warm"
DOH,DOH,H1,1,12/12/2013,2,2013,322203,GT12121302,Heeia Upper,,,115,202,,27700,118,2,0,1,Chlorophyll a not analyzed.,10:47 AM,20.43,,0.08,8.48,94.5,,8.01,0.72,Special Run
DOH,DOH,H2,2,1/22/2014,2,2014,322202,GT01221401,Heeia Lower,,,265,58,,26800,151,2,0,28,Chlorophyll a not analyzed,11:30 AM,21.64,,0.04,8.08,91.5,,7.85,8.4,Special Run
DOH,DOH,H1,1,1/22/2014,2,2014,322203,GT01221402,Heeia Upper,,,87,46,,28400,78,2,0,14,Chlorophyll a not analyzed,12:42 PM,20.96,,0.08,8.54,96.2,,8.15,1.02,Special Run
DOH,DOH,H2,2,2/5/2014,2,2014,322202,GT02051402,Heeia Lower,,,1090,36,,28800,342,14,0,14,"Special run, Chlorophyll a &amp;quot;0.0&amp;quot; means not analyzed.",10:12 AM,21.4,,0.09,8.06,91.2,,7.85,3.01,"Windy, clear, slightly higher flow"
DOH,DOH,H1,1,2/5/2014,2,2014,322203,GT02051401,Heeia Upper,,,91,36,,28200,58,1,0,28,"Rain past few days, higher flow, Chlorophyll a &quot;0.0&quot; means not analyzed.",10:45 AM,20.6,,0.08,8.47,95.4,,8.06,0.77,"Rained past few days, higher flow, 1.8 cfs"
DOH,DOH,H2,2,2/27/2014,2,2014,322202,GT02271401,Heeia Lower,,,429,33,,32200,275,6,0,14,"Chlorphyll ""a"" is not anlyzed",10:12 AM,20.08,,0.09,8.31,91.5,,7.84,3.26,"Overacast/clear, fish, ducks, pigeons, high flow"
