id,date,flow_cfs,dis_min,dis_max,dateTime,day,month,year
1,1/1/2018,2.6325,2.58,2.68,1/1/2018 0:00,1,1,2018
2,1/2/2018,2.506458333,2.45,2.58,1/1/2018 14:00,1,1,2018
3,1/3/2018,2.3240625,2.24,2.45,1/2/2018 14:00,2,1,2018
4,1/4/2018,2.231458333,2.22,2.24,1/3/2018 14:00,3,1,2018
5,1/5/2018,2.139166667,2.06,2.22,1/4/2018 14:00,4,1,2018
6,1/6/2018,2.009895833,1.98,2.06,1/5/2018 14:00,5,1,2018
7,1/7/2018,2.015520833,2.01,2.02,1/6/2018 14:00,6,1,2018
8,1/8/2018,2.02,2.02,2.02,1/7/2018 14:00,7,1,2018
9,1/9/2018,2.02,2.02,2.02,1/8/2018 14:00,8,1,2018
10,1/10/2018,2.02,2.02,2.02,1/9/2018 14:00,9,1,2018
11,1/11/2018,2.02,2.02,2.02,1/10/2018 14:00,10,1,2018
12,1/12/2018,2.02,2.02,2.02,1/11/2018 14:00,11,1,2018
13,1/13/2018,2.02,2.02,2.02,1/12/2018 14:00,12,1,2018
14,1/14/2018,2.020104167,2.02,2.03,1/13/2018 14:00,13,1,2018
15,1/15/2018,2.039270833,2.03,2.05,1/14/2018 14:00,14,1,2018
16,1/16/2018,2.0659375,2.05,2.07,1/15/2018 14:00,15,1,2018
17,1/17/2018,2.065208333,2.06,2.07,1/16/2018 14:00,16,1,2018
18,1/18/2018,2.06,2.06,2.06,1/17/2018 14:00,17,1,2018
19,1/19/2018,2.0615625,2.06,2.07,1/18/2018 14:00,18,1,2018
20,1/20/2018,2.074895833,2.07,2.08,1/19/2018 14:00,19,1,2018
21,1/21/2018,2.08,2.08,2.08,1/20/2018 14:00,20,1,2018
22,1/22/2018,2.0734375,2.06,2.08,1/21/2018 14:00,21,1,2018
23,1/23/2018,2.035520833,2.03,2.06,1/22/2018 14:00,22,1,2018
24,1/24/2018,2.03,2.03,2.03,1/23/2018 14:00,23,1,2018
25,1/25/2018,2.03,2.03,2.03,1/24/2018 14:00,24,1,2018
26,1/26/2018,2.025416667,2.02,2.03,1/25/2018 14:00,25,1,2018
27,1/27/2018,2.0321875,1.96,2.2,1/26/2018 14:00,26,1,2018
28,1/28/2018,1.979166667,1.84,2.21,1/27/2018 14:00,27,1,2018
29,1/29/2018,1.809270833,1.79,1.84,1/28/2018 14:00,28,1,2018
30,1/30/2018,1.799166667,1.79,1.84,1/29/2018 14:00,29,1,2018
31,1/31/2018,1.8259375,1.79,1.84,1/30/2018 14:00,30,1,2018
32,2/1/2018,1.79375,1.79,1.81,1/31/2018 14:00,1,1,2018
33,2/2/2018,1.838333333,1.81,1.85,2/1/2018 14:00,1,2,2018
34,2/3/2018,1.85,1.85,1.85,2/2/2018 14:00,2,2,2018
35,2/4/2018,1.827708333,1.81,1.85,2/3/2018 14:00,3,2,2018
36,2/5/2018,1.9171875,1.79,2.31,2/4/2018 14:00,4,2,2018
37,2/6/2018,1.92,1.92,1.92,2/5/2018 14:00,5,2,2018
38,2/7/2018,1.988541667,1.92,2.49,2/6/2018 14:00,6,2,2018
39,2/8/2018,2.050833333,1.97,2.49,2/7/2018 14:00,7,2,2018
40,2/9/2018,2.014479167,1.99,2.04,2/8/2018 14:00,8,2,2018
41,2/10/2018,1.99,1.99,1.99,2/9/2018 14:00,9,2,2018
42,2/11/2018,1.99,1.99,1.99,2/10/2018 14:00,10,2,2018
43,2/12/2018,2.057604167,1.99,2.1,2/11/2018 14:00,11,2,2018
44,2/13/2018,2.0903125,2.06,2.1,2/12/2018 14:00,12,2,2018
45,2/14/2018,7.450729167,2,53.8,2/13/2018 14:00,13,2,2018
46,2/15/2018,8.835833333,5.18,37.1,2/14/2018 14:00,14,2,2018
47,2/16/2018,3.704895833,2.99,5.37,2/15/2018 14:00,15,2,2018
48,2/17/2018,2.766875,2.5,2.99,2/16/2018 14:00,16,2,2018
49,2/18/2018,46.05970297,2.44,404,2/17/2018 14:00,17,2,2018
50,2/19/2018,46.2978,4.96,495,2/18/2018 14:00,18,2,2018
51,2/20/2018,4.013229167,3.25,4.93,2/19/2018 14:00,19,2,2018
52,2/21/2018,2.932291667,2.71,3.24,2/20/2018 14:00,20,2,2018
53,2/22/2018,3.585208333,2.49,6.1,2/21/2018 14:00,21,2,2018
54,2/23/2018,3.216354167,3.06,3.87,2/22/2018 14:00,22,2,2018
55,2/24/2018,3.158645833,3.06,3.37,2/23/2018 14:00,23,2,2018
